name,price_cur,price_prev
"Йогурт ""Даниссимо"" Фантазия с хрустящими шариками со вкусом соленой карамели 6.9% БЗМЖ, 105г",50.99,
"Творог ""Савушкин"", 5%, 200г",69.99,112.90
"Кефир ""Хуторок"" 2,5%, 930мл",74.99,
"Сметана ""Искренне ваш"", 20%, 300г",109.90,
"Биойогурт питьевой ""Активиа"" со злаками 2,2%, 260г",54.99,74.99
"Творожок ""Даниссимо"" с сочным киви 5,5%, 130г",69.99,
"Творог ""Савушкин"", 9%, 200г",119.90,
"Творожок ""Даниссимо"" с хрустящими шариками 7,2%, 130г",69.99,
"Йогурт ""Активиа"" питьевой Яблоко Персик без сахара, 260г",59.99,82.99
"Кефир ""Хуторок"" 3,2%, 900мл",72.99,
"Биойогурт ""Активиа"" питьевой с земляникой и клубникой 2%, 260г",54.99,74.99
"Биойогурт ""Активиа"" питьевой Черника и Льняные семена 2,1%, 260г",54.99,74.99
"Биойогурт ""Активиа"" Danone натуральный 2,4%, 260г",54.99,74.99
"Сыр ""Брест-Литовск"" Российский полутвердый 50%, 200г",139.90,199.90
"Сыр ""Атон"" Бри мягкий с белой плесенью 50%, 100г",229.90,
"Сыр ""Брест-Литовск"" Маасдам полутвердый 45%, 200г",179.90,239.90
"Сыр ""Брест-Литовск"" Финский полутвердый 45%, 200г",159.90,199.90
"Сыр ""Брест-Литовск"" Российский нарезка 50%, 150г",169.90,
"Сыр полутвердый ""Брест-Литовск"" Тильзитер 45%, 200г",169.90,209.90
"Сыр ""Брест-Литовск"" Классический 45%, 200г",199.90,
"Сыр творожный ""Савушкин"" с зеленью, 60%, 150г",79.99,129.90
"Сыр ""Брест-Литовск"" Классический 45% в нарезке, 150г",109.90,189.90
"Сыр ""Hochland"" Классическое Трио, плавленый Ассорти 55%, 140г",94.99,129.90
"Сыр творожный ""Almette"" Сливочный 60%, 150г",129.90,169.90
"Сыр ""Viola"" Финское избранное ассорти 50%, 130г",79.99,129.90
"Сыр творожный ""Hochland"" Сливочный 60%, 220г",199.90,
